Type_of_evidence	Field description	Field in JSON 1.1	Field in JSON 1.2
rna_expression	Activity	.biological_subject.properties.activity	
rna_expression	Tissue	.biological_object.properties.biosamples	
rna_expression	Comparison name	.evidence.experiment_specific.comparison_name	
rna_expression	Study details	.biological_object.properties.experiment_specific	
rna_expression	Log2 fold change	.evidence.experiment_specific.log2_fold_change	
rna_expression	Pvalue	.evidence.association_score.pvalue.value	
rna_expression	Provenance - References	.evidence.experiment_specific.literature.pubmed_refs	
rna_expression	Provenance - SourceDB	.evidence.urls.linkouts	
rna_expression	Evidence codes	.evidence.evidence_codes	
pathway	Target context	.biological_subject.properties.target_type	
pathway	Protein complex members	.biological_subject.about	
pathway	Activity	.biological_subject.properties.activity	
pathway	Additional context	.evidence.properties.experiment_specific.additional_properties	
pathway	Provenance - SourceDB	.evidence.urls.linkouts	
pathway	Provenance - References	.evidence.provenance_type.literature.pubmed_refs	
pathway	Date asserted	.evidence.date_asserted	
pathway	Evidence codes	.evidence.evidence_codes	
drug	Target context	.biological_subject.properties.target_type	
drug	Protein complex members	.biological_subject.about	
drug	Drug information	.evidence.evidence_chain[0].evidence.experiment_specific	
drug	Mechanism of action of drug	.biological_subject.properties.activity	
drug	Mechanism of action references	.evidence.evidence_chain[0].evidence.provenance_type.literature.pubmed_refs	
drug	Evidence codes: target to drug	.evidence.evidence_chain[0].evidence.evidence_codes	
drug	Provenance - target	.evidence.urls.linkouts[1]	
drug	Provenance - drug	.evidence.urls.linkouts[0]	
drug	Provenace - marketed drug indication; SourceDB	.evidence.evidence_chain[1].evidence.experiment_specific	
drug	Date asserted	.evidence.date_asserted	
drug	Evidence codes: drug to disease	.evidence.evidence_chain[1].evidence.evidence_codes	
drug	Association score	.evidence.evidence_chain[0].evidence.association_score	
genetics	Evidence codes: target to mutation	.evidence.evidence_chain[0].evidence.evidence_codes	
genetics	Provenance: curated literature evidence	.evidence.provenance_type.literature.pubmed_refs	
genetics	Curated functional consequence information	.evidence.evidence_chain[0].evidence.experiment_specific	
genetics	Provenance: target to mutation references	.evidence.evidence_chain[0].evidence.provenance_type.literature.pubmed_refs	
genetics	Provenance: expert	.evidence.evidence_chain[0].evidence.provenance_type.expert	
genetics	Provenance: database	.evidence.provenance_type.database	
genetics	Mutation identifier	.evidence.urls.linkouts	
genetics	GWAS - method	.evidence.evidence_chain[1].evidence.association_score.pvalue.method	
genetics	GWAS - probability	.evidence.evidence_chain[1].evidence.association_score.probability	
genetics	GWAS - pvalue	.evidence.evidence_chain[1].evidence.association_score.pvalue	
genetics	Provenance: GWAS references	.evidence.evidence_chain[1].evidence.provenance_type.literature.pubmed_refs	
genetics	Provenance: Expert review	.evidence.evidence_chain[1].evidence.provenance_type.expert	
genetics	Evidences codes: mutation to disease	.evidence.evidence_chain[1].evidence.evidence_codes	
genetics	Date asserted	.evidence.date_asserted	
somatic_mutations	Evidence codes	.evidence.evidence_codes	
somatic_mutations	Association score - Pvalue	.evidence.association_score.pvalue	
somatic_mutations	Association score - Probability	.evidence.association_score.probability	
somatic_mutations	COSMIC evidence	.evidence.urls.linkouts	
mouse_models	Activity	.biological_subject.properties.activity	
mouse_models	Probability	.evidence.association_score.probability	
mouse_models	Mouse Phenotypes	.evidence.properties.evidence_chain[1].biological_object.properties.experiment_specific	
mouse_models	Human Phenotypes	.biological_object.properties.experiment_specific	
